Card Name,Effect,Flavor Text,Color,Phase
Expedited Review,The current review phase takes 1 tick less time.,Your expeditor calls in a favor to get your filing moved to the top of the review pile.,Red,Regulatory Review
Filing Error,Increase the time for the current filing by 3 ticks.,A small mistake by the expeditor leads to your filing being returned for corrections.,Red,Regulatory Review
Efficiency Boost,Reduce your current filing time by 3 ticks.,Your expeditor streamlines the filing process improving overall efficiency.,Red,Regulatory Review
Extended Wait Time,Increase your current filing time by 4 ticks.,Your usual expeditor is out sick resulting in unexpected delays.,Red,Regulatory Review
Rush Processing,"Complete the current filing immediately, skipping up to 5 ticks.",Your expeditor pulls some strings to get your filing processed ASAP.,Red,Regulatory Review
Regulatory Slowdown,Your current filing takes 2 ticks more time.,New regulations create additional red tape slowing down your expeditor.,Red,Regulatory Review
Expeditor's Insight,"Draw 2 Expeditor Cards, then discard 1 Expeditor Card.",Your expeditor provides valuable guidance helping you make informed decisions.,All Colors,Any Phase
Overtime,Pay a junior expeditor ($1000) to reduce the current filing time by 2 ticks.,Working late the expeditor manages to shave off some time.,All Colors,Any Phase
Favor Called In,"Choose an opponent. Their current filing takes 2 ticks more time, your current filing takes 2 ticks less time.",Your expeditor calls in a favor impacting both you and your rival.,Red,Regulatory Review
Batch Processing,Reduce your current filing time by 2 ticks.,Your expeditor finds a way to process multiple filings together.,Red,Regulatory Review
Permit Expedited,"Roll a die. On 1-3, reduce processing time by 4 ticks. On 4-6, no effect.",Your expeditor greases the wheels to get your permit fast-tracked.,Red,Regulatory Review
Paperwork Snag,Discard 1 Expeditor Card or the current filing takes 1 tick more time.,A paperwork issue threatens to delay the filing.,Red,Regulatory Review
Redundant Requests,All players' current filing takes 2 ticks more time.,Multiple expeditors accidentally submit the same filing causing confusion.,Red,Regulatory Review
Express Delivery,Reduce the current filing time by 2 ticks but skip your next turn.,You pay for express delivery but it throws off your schedule.,Red,Regulatory Review
Canceled Appointment,Increase the current filing time by 1 tick and draw 1 Expeditor Card.,A canceled meeting with an official delays the filing but provides time to prepare.,Red,Regulatory Review
