Type,Work Type,Job Description,Estimated Job Costs
W,General Construction,Lobby renovation and security upgrade for corporate headquarters,150000
W,General Construction,Conversion of attic space into habitable loft in single-family home,80000
W,General Construction,Installation of green wall and rooftop garden for eco-friendly office building,200000
W,General Construction,Renovation of historic theater including restoration of ornate plasterwork,950000
W,General Construction,Construction of new emergency department addition to existing hospital,4500000
W,General Construction,Adaptive reuse of abandoned warehouse into mixed-use development,3000000
W,General Construction,Energy-efficient retrofit of 1960s office building,1200000
W,General Construction,Expansion of public library with new children's wing,2500000
W,General Construction,Conversion of strip mall into senior living community,5000000
W,General Construction,Restoration of fire-damaged apartment building,800000
W,General Construction,Construction of rooftop amenity space for luxury condominium,600000
W,General Construction,Renovation of industrial space into trendy restaurant,450000
W,General Construction,Accessibility upgrades for historic courthouse,350000
W,General Construction,Conversion of former school into affordable housing units,4000000
W,General Construction,Facade restoration of Art Deco skyscraper,1800000
W,General Construction,Construction of new visitor center for national park,2000000
W,General Construction,Renovation of airport terminal for improved passenger flow,7500000
W,General Construction,Conversion of big box store into indoor vertical farm,3500000
W,General Construction,Seismic retrofit and renovation of city hall,6000000
W,General Construction,Construction of new performing arts center on university campus,12000000
W,General Construction,Renovation of historic hotel into boutique accommodation,5500000
W,General Construction,Construction of new fire station with training facilities,3800000
W,Plumbing,Installation of gray water recycling system for large apartment complex,350000
W,Plumbing,Replacement of lead service lines for entire city block of rowhouses,500000
W,Plumbing,New cryogenic piping system for research laboratory,180000
W,Plumbing,Installation of solar thermal hot water system for hotel,120000
W,Plumbing,Upgrade of plumbing fixtures to low-flow models in university dormitory,90000
W,Plumbing,Installation of rainwater harvesting system for office park,280000
W,Plumbing,Replacement of corroded plumbing stack in high-rise condominium,200000
W,Plumbing,New medical gas system for hospital expansion,450000
W,Plumbing,Installation of greywater system for public park irrigation,150000
W,Plumbing,Upgrade of storm drainage system for large industrial site,320000
W,Plumbing,New plumbing system for food processing facility,380000
W,Plumbing,Installation of water treatment system for brewery,110000
W,Plumbing,Replacement of aging sewer lines in historic district,600000
W,Plumbing,New plumbing for green building with composting toilets,85000
W,Plumbing,Installation of snowmelt system for pedestrian plaza,95000
W,Plumbing,Upgrade of plumbing systems in century-old apartment building,250000
W,Mechanical Systems,Installation of geothermal heating and cooling system for new school campus,2500000
W,Mechanical Systems,Retrofit of existing HVAC system with UV air purification for medical facility,400000
W,Mechanical Systems,New clean room HVAC system for semiconductor manufacturing plant,1800000
W,Mechanical Systems,Installation of heat recovery ventilation system in passive house project,75000
W,Mechanical Systems,Upgrade to variable refrigerant flow (VRF) system in boutique office building,350000
W,Mechanical Systems,Installation of district heating system for university campus,3000000
W,Mechanical Systems,New HVAC system for data center with hot aisle containment,1200000
W,Mechanical Systems,Upgrade of mechanical systems in historic theater for improved acoustics,500000
W,Mechanical Systems,Installation of energy-efficient HVAC system in green office tower,2000000
W,Mechanical Systems,New mechanical systems for pharmaceutical clean room facility,1500000
W,Mechanical Systems,Retrofit of chiller plant for improved energy efficiency in hospital,800000
W,Sprinklers,Installation of water mist fire suppression system in data center,250000
W,Sprinklers,Upgrade of sprinkler system to accommodate new mezzanine in warehouse,80000
W,Sprinklers,Installation of foam sprinkler system in aircraft hangar,400000
W,Sprinklers,Retrofit of residential high-rise with new NFPA 13R sprinkler system,1200000
W,Sprinklers,Installation of specialized sprinkler system for art storage facility,150000
