Work Type,Job Description,Estimated Job Costs
General Construction,Lobby renovation and security upgrade for corporate headquarters,150000
General Construction,Conversion of attic space into habitable loft in single-family home,80000
General Construction,Installation of green wall and rooftop garden for eco-friendly office building,200000
General Construction,Renovation of historic theater including restoration of ornate plasterwork,950000
General Construction,Construction of new emergency department addition to existing hospital,4500000
General Construction,Adaptive reuse of abandoned warehouse into mixed-use development,3000000
General Construction,Energy-efficient retrofit of 1960s office building,1200000
General Construction,Expansion of public library with new children's wing,2500000
General Construction,Conversion of strip mall into senior living community,5000000
General Construction,Restoration of fire-damaged apartment building,800000
General Construction,Construction of rooftop amenity space for luxury condominium,600000
General Construction,Renovation of industrial space into trendy restaurant,450000
General Construction,Accessibility upgrades for historic courthouse,350000
General Construction,Conversion of former school into affordable housing units,4000000
General Construction,Facade restoration of Art Deco skyscraper,1800000
General Construction,Construction of new visitor center for national park,2000000
General Construction,Renovation of airport terminal for improved passenger flow,7500000
General Construction,Conversion of big box store into indoor vertical farm,3500000
General Construction,Seismic retrofit and renovation of city hall,6000000
General Construction,Construction of new performing arts center on university campus,12000000
General Construction,Renovation of historic hotel into boutique accommodation,5500000
General Construction,Construction of new fire station with training facilities,3800000
Plumbing,Installation of gray water recycling system for large apartment complex,350000
Plumbing,Replacement of lead service lines for entire city block of rowhouses,500000
Plumbing,New cryogenic piping system for research laboratory,180000
Plumbing,Installation of solar thermal hot water system for hotel,120000
Plumbing,Upgrade of plumbing fixtures to low-flow models in university dormitory,90000
Plumbing,Installation of rainwater harvesting system for office park,280000
Plumbing,Replacement of corroded plumbing stack in high-rise condominium,200000
Plumbing,New medical gas system for hospital expansion,450000
Plumbing,Installation of greywater system for public park irrigation,150000
Plumbing,Upgrade of storm drainage system for large industrial site,320000
Plumbing,New plumbing system for food processing facility,380000
Plumbing,Installation of water treatment system for brewery,110000
Plumbing,Replacement of aging sewer lines in historic district,600000
Plumbing,New plumbing for green building with composting toilets,85000
Plumbing,Installation of snowmelt system for pedestrian plaza,95000
Plumbing,Upgrade of plumbing systems in century-old apartment building,250000
Mechanical Systems,Installation of geothermal heating and cooling system for new school campus,2500000
Mechanical Systems,Retrofit of existing HVAC system with UV air purification for medical facility,400000
Mechanical Systems,New clean room HVAC system for semiconductor manufacturing plant,1800000
Mechanical Systems,Installation of heat recovery ventilation system in passive house project,75000
Mechanical Systems,Upgrade to variable refrigerant flow (VRF) system in boutique office building,350000
